Domain:,Live Test 1,,,,,,,,
Location:,Lekki,,,,,,,,
Date Filtered:,21/08/2022 00:00 - 21/08/2024 23:59,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Id,Workgroup,Created,Channel,Contact,ReportingFilters,Cost,Tax,Total,Status
297,Point of Sale,07/11/2023,POS,,Sales,"28,500.00","28,500.00","28,500.00",Approved
296,Point of Sale,03/11/2023,POS,,Sales,"7,676.00","7,676.00","7,676.00",Approved
295,Point of Sale,16/10/2023,POS,,Sales,"21,000.00","21,000.00","21,000.00",Approved
294,Point of Sale,16/10/2023,POS,,Sales,"28,500.00","28,500.00","28,500.00",Approved
292,Point of Sale,13/10/2023,POS,,Sales,"10,500.00","10,500.00","10,500.00",Approved
290,Point of Sale,13/10/2023,POS,,Sales,"5,700.00","5,700.00","5,700.00",Approved
293,Point of Sale,13/10/2023,POS,,Sales,"13,200.00","13,200.00","13,200.00",Approved
291,Point of Sale,13/10/2023,POS,,Sales,"10,500.00","10,500.00","10,500.00",Approved
289,Point of Sale,30/08/2023,POS,,Sales,338.00,338.00,338.00,Approved
288,Point of Sale,30/08/2023,POS,,Sales,338.00,338.00,338.00,Approved
287,Point of Sale,22/08/2023,POS,,Sales,"7,000.00","7,000.00","7,000.00",Approved
286,Point of Sale,15/08/2023,POS,,Sales,"3,500.00","3,500.00","3,500.00",Approved
285,Point of Sale,15/08/2023,POS,,Sales,"8,400.00","8,400.00","8,400.00",Approved
284,Point of Sale,15/08/2023,POS,,Sales,"5,200.00","5,200.00","5,200.00",Approved
283,Point of Sale,14/08/2023,POS,,Sales,700.00,700.00,700.00,Approved
282,Point of Sale,13/08/2023,POS,,Sales,676.00,676.00,676.00,Approved
281,Point of Sale,13/08/2023,POS,,Sales,"7,000.00","7,000.00","7,000.00",Approved
280,Point of Sale,12/08/2023,POS,,Sales,"7,000.00","7,000.00","7,000.00",Approved
278,Point of Sale,27/06/2023,POS,,Sales,"9,000.00","9,000.00","9,000.00",Approved
277,Point of Sale,27/06/2023,POS,,Sales,676.00,676.00,676.00,Approved
276,Finance,18/06/2023,Trader,,Lekki 1,"16,900.00","16,900.00","16,900.00",Approved
275,Point of Sale,08/06/2023,POS,,Sales,338.00,338.00,338.00,Approved
274,Finance,20/02/2023,B2C,,Collection,"2,000.00","2,000.00","2,000.00",Approved
273,Point of Sale,11/01/2023,POS,,Sales,"17,300.00","17,300.00","17,300.00",Approved
272,Point of Sale,11/01/2023,POS,,Sales,"3,000.00","3,000.00","3,000.00",Approved
271,Point of Sale,11/01/2023,POS,,Sales,"13,500.00","13,500.00","13,500.00",Approved
